Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11636,41,1,211,"",27,i3 BEV,2017,"","",137.0,Mpge,111.0,Mpge,"","",Auto,SI,125 kW,"",125 kW electric motor - 60 Amp-hour battery,"","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11637,41,1,211,"",27,i3 BEV,2017,"","",129.0,Mpge,106.0,Mpge,"","",Auto,SI,125 kW ,"",125 kW electric motor - 94 Amp-hour battery,"","","","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11638,41,1,215,"",27,Bolt,2017,"","",128.0,Mpge,110.0,Mpge,"","",Auto,SI,150 kW,"",150 kW electric motor,"","","","","","","","",Chevrolet,http://www.chevrolet.com,ELEC,Electric,Sedan/Wagon,Dedicated
11639,41,1,379,"",27,500e,2017,"","","","","","","","",Auto,SI,82 kW,"",82 kW electric motor,"","","","","","","","",Fiat,http://www.fiatusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11640,41,1,351,"",27,Ioniq,2017,"","","","","","","","",Auto,SI,"","",NA/88 kW/28 kW,"","","","","","","","",Hyundai,http://www.hyundaiusa.com/,ELEC,Electric,Sedan/Wagon,Dedicated
11641,41,1,239,"",27,B250e,2017,"","","","","","","","",Auto,SI,132 kW,"",132 kW electric motor,"","","","","","","","",Mercedes-Benz,http://www.mbusa.com/mercedes/,ELEC,Electric,Sedan/Wagon,Dedicated
11642,41,1,263,"",27,i-MiEV,2017,"","","","","","","","",Auto,SI,"","",49 kW electric motor 16 kW battery,"","","","","","","","",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,ELEC,Electric,Sedan/Wagon,Dedicated
11643,41,1,237,"",27,Model S,2017,"","","","","","","","",Auto,SI,"","",300 kW electric motor 60 kWh battery,"","","","","","","","",Tesla,http://www.teslamotors.com/design/gallery-body.php,ELEC,Electric,Sedan/Wagon,Dedicated
11644,41,1,347,"",27,e-Golf,2017,"","","","","","","","",Auto,SI,"","",85 kW electric motor 24.2 kWh battery,"","","","","","","","",Volkswagen,http://www.vw.com,ELEC,Electric,Sedan/Wagon,Dedicated
11598,41,1,211,"",27,i3,2016,"","",137.0,Mpge,111.0,Mpge,"","",Auto,SI,125 kW ,"",125 kW electric motor 21 kWh battery,"",21 kWh,"","","","","","",BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
