Obs;Make;Model;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase
1;Acura;MDX;6;265;17;23;4451;106
2;Acura;RSX Type S 2dr;4;200;24;31;2778;101
3;Acura;TSX 4dr;4;200;22;29;3230;105
4;Acura;TL 4dr;6;270;20;28;3575;108
5;Acura;3.5 RL 4dr;6;225;18;24;3880;115
6;Acura;3.5 RL w/Navigation 4dr;6;225;18;24;3893;115
7;Acura;NSX coupe 2dr manual S;6;290;17;24;3153;100
8;Audi;A4 1.8T 4dr;4;170;22;31;3252;104
9;Audi;A41.8T convertible 2dr;4;170;23;30;3638;105
10;Audi;A4 3.0 4dr;6;220;20;28;3462;104
11;Audi;A4 3.0 Quattro 4dr manual;6;220;17;26;3583;104
12;Audi;A4 3.0 Quattro 4dr auto;6;220;18;25;3627;104
13;Audi;A6 3.0 4dr;6;220;20;27;3561;109
14;Audi;A6 3.0 Quattro 4dr;6;220;18;25;3880;109
15;Audi;A4 3.0 convertible 2dr;6;220;20;27;3814;105
16;Audi;A4 3.0 Quattro convertible 2dr;6;220;18;25;4013;105
17;Audi;A6 2.7 Turbo Quattro 4dr;6;250;18;25;3836;109
18;Audi;A6 4.2 Quattro 4dr;8;300;17;24;4024;109
19;Audi;A8 L Quattro 4dr;8;330;17;24;4399;121
20;Audi;S4 Quattro 4dr;8;340;14;20;3825;104
21;Audi;RS 6 4dr;8;450;15;22;4024;109
22;Audi;TT 1.8 convertible 2dr (coupe);4;180;20;28;3131;95
23;Audi;TT 1.8 Quattro 2dr (convertible);4;225;20;28;2921;96
24;Audi;TT 3.2 coupe 2dr (convertible);6;250;21;29;3351;96
25;Audi;A6 3.0 Avant Quattro;6;220;18;25;4035;109
26;Audi;S4 Avant Quattro;8;340;15;21;3936;104
27;BMW;X3 3.0i;6;225;16;23;4023;110
28;BMW;X5 4.4i;8;325;16;22;4824;111
29;BMW;325i 4dr;6;184;20;29;3219;107
30;BMW;325Ci 2dr;6;184;20;29;3197;107
31;BMW;325Ci convertible 2dr;6;184;19;27;3560;107
32;BMW;325xi 4dr;6;184;19;27;3461;107
33;BMW;330i 4dr;6;225;20;30;3285;107
34;BMW;330Ci 2dr;6;225;20;30;3285;107
35;BMW;330xi 4dr;6;225;20;29;3483;107
36;BMW;525i 4dr;6;184;19;28;3428;114
37;BMW;330Ci convertible 2dr;6;225;19;28;3616;107
38;BMW;530i 4dr;6;225;20;30;3472;114
39;BMW;545iA 4dr;8;325;18;26;3814;114
40;BMW;745i 4dr;8;325;18;26;4376;118
41;BMW;745Li 4dr;8;325;18;26;4464;123
42;BMW;M3 coupe 2dr;6;333;16;24;3415;108
43;BMW;M3 convertible 2dr;6;333;16;23;3781;108
44;BMW;Z4 convertible 2.5i 2dr;6;184;20;28;2932;98
45;BMW;Z4 convertible 3.0i 2dr;6;225;21;29;2998;98
46;BMW;325xi Sport;6;184;19;26;3594;107
47;Buick;Rainier;6;275;15;21;4600;113
48;Buick;Rendezvous CX;6;185;19;26;4024;112
49;Buick;Century Custom 4dr;6;175;20;30;3353;109
50;Buick;LeSabre Custom 4dr;6;205;20;29;3567;112
51;Buick;Regal LS 4dr;6;200;20;30;3461;109
52;Buick;Regal GS 4dr;6;240;18;28;3536;109
53;Buick;LeSabre Limited 4dr;6;205;20;29;3591;112
54;Buick;Park Avenue 4dr;6;205;20;29;3778;114
55;Buick;Park Avenue Ultra 4dr;6;240;18;28;3909;114
56;Cadillac;Escalade;8;295;14;18;5367;116
57;Cadillac;SRX V8;8;320;16;21;4302;116
58;Cadillac;CTS VVT 4dr;6;255;18;25;3694;113
59;Cadillac;Deville 4dr;8;275;18;26;3984;115
60;Cadillac;Deville DTS 4dr;8;300;18;26;4044;115
61;Cadillac;Seville SLS 4dr;8;275;18;26;3992;112
62;Cadillac;XLR convertible 2dr;8;320;17;25;3647;106
63;Cadillac;Escalade EXT;8;345;13;17;5879;130
64;Chevrolet;Suburban 1500 LT;8;295;14;18;4947;130
65;Chevrolet;Tahoe LT;8;295;14;18;5050;116
66;Chevrolet;TrailBlazer LT;6;275;16;21;4425;113
67;Chevrolet;Tracker;6;165;19;22;2866;98
68;Chevrolet;Aveo 4dr;4;103;28;34;2370;98
69;Chevrolet;Aveo LS 4dr hatch;4;103;28;34;2348;98
70;Chevrolet;Cavalier 2dr;4;140;26;37;2617;104
71;Chevrolet;Cavalier 4dr;4;140;26;37;2676;104
72;Chevrolet;Cavalier LS 2dr;4;140;26;37;2617;104
73;Chevrolet;Impala 4dr;6;180;21;32;3465;111
74;Chevrolet;Malibu 4dr;4;145;24;34;3174;106
75;Chevrolet;Malibu LS 4dr;6;200;22;30;3297;106
76;Chevrolet;Monte Carlo LS 2dr;6;180;21;32;3340;111
77;Chevrolet;Impala LS 4dr;6;200;20;30;3476;111
78;Chevrolet;Impala SS 4dr;6;240;18;28;3606;111
79;Chevrolet;Malibu LT 4dr;6;200;23;32;3315;106
80;Chevrolet;Monte Carlo SS 2dr;6;200;18;28;3434;111
81;Chevrolet;Astro;6;190;14;17;4605;111
82;Chevrolet;Venture LS;6;185;19;26;3699;112
83;Chevrolet;Corvette 2dr;8;350;18;25;3246;105
84;Chevrolet;Corvette convertible 2dr;8;350;18;25;3248;105
85;Chevrolet;Avalanche 1500;8;295;14;18;5678;130
86;Chevrolet;Colorado Z85;4;175;18;23;3623;111
87;Chevrolet;Silverado 1500 Regular Cab;6;200;15;21;4142;119
88;Chevrolet;Silverado SS;8;300;13;17;4804;144
89;Chevrolet;SSR;8;300;16;19;4760;116
90;Chevrolet;Malibu Maxx LS;6;200;22;30;3458;112
91;Chrysler;PT Cruiser 4dr;4;150;22;29;3101;103
92;Chrysler;PT Cruiser Limited 4dr;4;150;22;29;3105;103
93;Chrysler;Sebring 4dr;4;150;22;30;3173;108
94;Chrysler;Sebring Touring 4dr;6;200;21;28;3222;108
95;Chrysler;300M 4dr;6;250;18;27;3581;113
96;Chrysler;Concorde LX 4dr;6;200;21;29;3479;113
97;Chrysler;Concorde LXi 4dr;6;232;19;27;3548;113
