Make;Model;Type;Horsepower;MPG_City;MPG_Highway;Weight;Length
Acura;MDX;SUV;265;17;23;4451;189
Acura;RSX Type S 2dr;Sedan;200;24;31;2778;172
Acura;TSX 4dr;Sedan;200;22;29;3230;183
Acura;TL 4dr;Sedan;270;20;28;3575;186
Acura;3.5 RL 4dr;Sedan;225;18;24;3880;197
Acura;3.5 RL w/Navigation 4dr;Sedan;225;18;24;3893;197
Acura;NSX coupe 2dr manual S;Sports;290;17;24;3153;174
Audi;A4 1.8T 4dr;Sedan;170;22;31;3252;179
Audi;A41.8T convertible 2dr;Sedan;170;23;30;3638;180
Audi;A4 3.0 4dr;Sedan;220;20;28;3462;179
Audi;A4 3.0 Quattro 4dr manual;Sedan;220;17;26;3583;179
Audi;A4 3.0 Quattro 4dr auto;Sedan;220;18;25;3627;179
Audi;A6 3.0 4dr;Sedan;220;20;27;3561;192
Audi;A6 3.0 Quattro 4dr;Sedan;220;18;25;3880;192
Audi;A4 3.0 convertible 2dr;Sedan;220;20;27;3814;180
Audi;A4 3.0 Quattro convertible 2dr;Sedan;220;18;25;4013;180
Audi;A6 2.7 Turbo Quattro 4dr;Sedan;250;18;25;3836;192
Audi;A6 4.2 Quattro 4dr;Sedan;300;17;24;4024;193
Audi;A8 L Quattro 4dr;Sedan;330;17;24;4399;204
Audi;S4 Quattro 4dr;Sedan;340;14;20;3825;179
Audi;RS 6 4dr;Sports;450;15;22;4024;191
Audi;TT 1.8 convertible 2dr (coupe);Sports;180;20;28;3131;159
Audi;TT 1.8 Quattro 2dr (convertible);Sports;225;20;28;2921;159
Audi;TT 3.2 coupe 2dr (convertible);Sports;250;21;29;3351;159
Audi;A6 3.0 Avant Quattro;Wagon;220;18;25;4035;192
Audi;S4 Avant Quattro;Wagon;340;15;21;3936;179
BMW;X3 3.0i;SUV;225;16;23;4023;180
BMW;X5 4.4i;SUV;325;16;22;4824;184
BMW;325i 4dr;Sedan;184;20;29;3219;176
BMW;325Ci 2dr;Sedan;184;20;29;3197;177
BMW;325Ci convertible 2dr;Sedan;184;19;27;3560;177
BMW;325xi 4dr;Sedan;184;19;27;3461;176
BMW;330i 4dr;Sedan;225;20;30;3285;176
BMW;330Ci 2dr;Sedan;225;20;30;3285;176
BMW;330xi 4dr;Sedan;225;20;29;3483;176
BMW;525i 4dr;Sedan;184;19;28;3428;191
BMW;330Ci convertible 2dr;Sedan;225;19;28;3616;177
BMW;530i 4dr;Sedan;225;20;30;3472;191
BMW;545iA 4dr;Sedan;325;18;26;3814;191
BMW;745i 4dr;Sedan;325;18;26;4376;198
BMW;745Li 4dr;Sedan;325;18;26;4464;204
BMW;M3 coupe 2dr;Sports;333;16;24;3415;177
BMW;M3 convertible 2dr;Sports;333;16;23;3781;177
BMW;Z4 convertible 2.5i 2dr;Sports;184;20;28;2932;161
BMW;Z4 convertible 3.0i 2dr;Sports;225;21;29;2998;161
BMW;325xi Sport;Wagon;184;19;26;3594;176
Buick;Rainier;SUV;275;15;21;4600;193
Buick;Rendezvous CX;SUV;185;19;26;4024;187
Buick;Century Custom 4dr;Sedan;175;20;30;3353;195
Buick;LeSabre Custom 4dr;Sedan;205;20;29;3567;200
Buick;Regal LS 4dr;Sedan;200;20;30;3461;196
Buick;Regal GS 4dr;Sedan;240;18;28;3536;196
Buick;LeSabre Limited 4dr;Sedan;205;20;29;3591;200
Buick;Park Avenue 4dr;Sedan;205;20;29;3778;207
Buick;Park Avenue Ultra 4dr;Sedan;240;18;28;3909;207
Cadillac;Escalade;SUV;295;14;18;5367;199
Cadillac;SRX V8;SUV;320;16;21;4302;195
Cadillac;CTS VVT 4dr;Sedan;255;18;25;3694;190
Cadillac;Deville 4dr;Sedan;275;18;26;3984;207
Cadillac;Deville DTS 4dr;Sedan;300;18;26;4044;207
Cadillac;Seville SLS 4dr;Sedan;275;18;26;3992;201
Cadillac;XLR convertible 2dr;Sports;320;17;25;3647;178
Cadillac;Escalade EXT;Truck;345;13;17;5879;221
Chevrolet;Suburban 1500 LT;SUV;295;14;18;4947;219
Chevrolet;Tahoe LT;SUV;295;14;18;5050;197
Chevrolet;TrailBlazer LT;SUV;275;16;21;4425;192
Chevrolet;Tracker;SUV;165;19;22;2866;163
Chevrolet;Aveo 4dr;Sedan;103;28;34;2370;167
Chevrolet;Aveo LS 4dr hatch;Sedan;103;28;34;2348;153
Chevrolet;Cavalier 2dr;Sedan;140;26;37;2617;183
Chevrolet;Cavalier 4dr;Sedan;140;26;37;2676;183
Chevrolet;Cavalier LS 2dr;Sedan;140;26;37;2617;183
Chevrolet;Impala 4dr;Sedan;180;21;32;3465;200
Chevrolet;Malibu 4dr;Sedan;145;24;34;3174;188
Chevrolet;Malibu LS 4dr;Sedan;200;22;30;3297;188
Chevrolet;Monte Carlo LS 2dr;Sedan;180;21;32;3340;198
Chevrolet;Impala LS 4dr;Sedan;200;20;30;3476;200
Chevrolet;Impala SS 4dr;Sedan;240;18;28;3606;200
Chevrolet;Malibu LT 4dr;Sedan;200;23;32;3315;188
Chevrolet;Monte Carlo SS 2dr;Sedan;200;18;28;3434;198
Chevrolet;Astro;Sedan;190;14;17;4605;190
Chevrolet;Venture LS;Sedan;185;19;26;3699;187
Chevrolet;Corvette 2dr;Sports;350;18;25;3246;180
Chevrolet;Corvette convertible 2dr;Sports;350;18;25;3248;180
Chevrolet;Avalanche 1500;Truck;295;14;18;5678;222
Chevrolet;Colorado Z85;Truck;175;18;23;3623;192
Chevrolet;Silverado 1500 Regular Cab;Truck;200;15;21;4142;206
Chevrolet;Silverado SS;Truck;300;13;17;4804;238
Chevrolet;SSR;Truck;300;16;19;4760;191
Chevrolet;Malibu Maxx LS;Wagon;200;22;30;3458;188
Chrysler;PT Cruiser 4dr;Sedan;150;22;29;3101;169
Chrysler;PT Cruiser Limited 4dr;Sedan;150;22;29;3105;169
Chrysler;Sebring 4dr;Sedan;150;22;30;3173;191
Chrysler;Sebring Touring 4dr;Sedan;200;21;28;3222;191
Chrysler;300M 4dr;Sedan;250;18;27;3581;198
Chrysler;Concorde LX 4dr;Sedan;200;21;29;3479;208
